Subject	Gender	Age	1.1	1.2	1.3	1.4	1.5	1.6	1.7	1.8	1.9	1.10	1.11	2.1	2.2	2.3	2.4	2.5	2.6	2.7	2.8	2.9	2.10	2.11
2	1	1	35755	33007	17686	18133	13903	7861	3720	7720	2853	1671	9130	36200	33127	17097	19385	14697	6597	5339	9981	2404	6029	9896
7	1	2	96295	22210	12414	4760	11593	2581	3262	13929	5766	6028	5261	99005	22004	8786	7854	7437	4982	3740	6329	4016	3539	8341
13	1	2	83361	28160	23632	10913	7985	14337	2996	13663	3547	9461	2578	32096	7006	9953	22175	5492	13570	6184	5997	5003	6914	24882
15	2	1	22370	11827	93624	110881	10448	3916	6073	769	3303	17021	23223	123761	82392	57254	13236	48814	1783	2244	2244	1929	10693	8522
17	2	2	101482	23258	26698	9522	17096	4854	3459	27606	20844	2127	11348	76997	19947	17866	10394	7988	21378	5703	5273	5356	6422	4086
19	2	2	49553	35986	32695	13788	12046	6053	10390	454	14112	45002	5195	85677	68678	29645	9387	11104	19347	19203	4336	10677	5333	9160
20	1	2	123075	86573	15100	34216	6564	15554	13536	5796	5734	4332	3608	9017	2902	4824	13226	5576	669	7607	8266	5726	11011	4808
22	1	1	119398	122558	161337	100348	150755	116918	111684	107523	41238	14642	41558	179788	103018	40269	94560	81115	11794	8549	12400	5091	4055	5488
26	2	1	126490	32756	32274	28791	4493	30238	19715	4310	7316	4537	9167	126490	32756	32274	28791	4493	30238	19715	4310	7316	4537	9167
32	1	2	33336	21602	10968	5180	2414	2173	6538	1942	7916	5267	1118	107787	26851	10882	10265	8095	7167	6505	8596	10437	964	8411
34	2	2	142008	78045	38649	28421	23067	24846	7095	3441	9118	46283	9148	39431	10405	42845	16228	21194	84629	13829	14584	81914	3736	5610
35	2	1	90458	38383	17974	22739	6642	48151	9246	8146	12022	36178	39094	35752	13274	14629	5935	5041	3153	6822	6886	4801	2578	44821
37	2	1	103819	80946	31001	26530	8634	35159	10211	8445	5891	5740	22333	110032	83197	7369	12988	28389	7245	7190	15063	18620	13595	13478
38	2	1	92457	88390	72175	14745	60496	14350	71925	52250	8199	42419	32182	107688	71775	12064	15438	13733	6801	6834	9893	6252	2219	28144
39	1	1	130864	103910	59407	84770	95993	21561	98493	9135	69547	68631	33028	44263	14378	6244	6545	45910	7132	11677	5819	27240	7559	24126
40	1	1	112874	4886	96940	3772	11879	22437	5608	5336	7569	3505	3409	60219	8652	12046	6197	6726	5966	3229	2652	4872	1078	1203
41	1	1	84835	22308	25143	35856	10059	9876	10750	19188	29123	7125	39337	10354	64849	10943	33286	10145	5730	2907	10355	1444	6845	1540
43	2	1	59694	57906	26194	23657	23003	2681	25196	37471	11943	3240	1975	106334	26318	20129	52426	7801	37859	8653	4731	16756	3531	50987
44	2	2	58852	72764	27165	72991	23012	23575	17073	14229	11628	9762	4829	110014	28785	15152	40874	11172	18352	35024	6607	8024	10675	5840
45	2	2	94304	45440	6705	6255	2075	6535	1015	2889	1410	3090	5750	47473	48089	11605	30654	15103	4635	3287	2830	3767	1354	4069
47	2	1	104064	63551	11643	8944	6941	16803	7537	5514	10171	4696	2764	83055	32431	71828	33228	13137	10670	13222	6191	6837	8981	26689
48	1	1	22181	7893	2459	8129	11292	8684	19300	7685	19391	6269	4505	31055	9427	9694	5657	4265	3137	8816	1734	6043	4965	5703
49	1	1	55553	9067	16448	6894	3318	4237	34794	8109	4433	1436	7012	47688	3887	45939	19997	5958	42342	2112	1145	9206	2445	23945
51	2	2	51743	36726	169395	33510	30654	25572	30521	6711	21126	27009	91073	95450	71697	14606	6167	28405	7921	7575	3475	9146	3014	4379
52	2	2	48450	68864	12295	12350	4620	6729	2601	3331	2159	2138	1300	67134	26879	10266	6897	4231	2747	1926	1429	1098	3728	8161
53	1	2	42802	9520	9582	2295	21350	8557	4439	4349	734	3235	1146	73484	3061	17555	6611	2072	12568	5687	985	1149	1102	3801
54	1	2	16749	16320	7188	8740	9481	2296	5408	4730	3523	9385	20850	75744	42044	11008	3839	6593	10205	17051	5679	11031	3494	3148
55	1	1	18416	64466	32383	41744	22158	46904	5354	36864	9298	21691	8852	96684	20338	3862	3603	35556	5772	4708	1626	10680	2265	4977
56	2	1	91943	23972	10521	5169	9730	9052	2051	3973	4942	3151	2957	131546	9067	4071	32550	17254	50020	30083	16628	27465	108940	23760
57	1	1	14381	9640	21725	41691	11259	4586	3859	4863	4595	1826	1266	24349	4935	3857	16715	6522	16796	4992	4426	2197	2062	1467
58	2	1	83338	95366	168988	105724	96879	101972	96483	18762	5495	32922	24339	29877	29405	11459	6508	6228	1713	1651	1351	1438	2081	5868
